transaction_hash,sender,receiver,amount,timestamp
0x7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d,wallet_payroll_001,wallet_user_001,5.00,2026-03-01T08:00:00Z
0x8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e,wallet_payroll_001,wallet_user_002,4.50,2026-03-01T08:15:00Z
0x901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f,wallet_payroll_001,wallet_user_003,6.00,2026-03-01T08:30:00Z
0xa1b2c3d4e5f60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,wallet_suspicious_001,wallet_intermediary_001,50.00,2026-03-01T09:00:00Z
0x123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef0,wallet_user_001,wallet_merchant_001,1.20,2026-03-01T09:15:00Z
0x0718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c,wallet_intermediary_001,wallet_deadend_001,5.00,2026-03-01T09:30:00Z
0xb2c3d4e5f60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e,wallet_intermediary_001,wallet_intermediary_002,44.50,2026-03-01T10:00:00Z
0x56789abcdef0123456789abcdef0123456789abcdef0123456789abcdef01234,wallet_suspicious_001,wallet_intermediary_001,15.00,2026-03-01T10:15:00Z
0x18293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d,wallet_intermediary_002,wallet_deadend_002,2.50,2026-03-01T10:30:00Z
0x6789abcdef0123456789abcdef0123456789abcdef0123456789abcdef012345,wallet_intermediary_001,wallet_intermediary_002,14.80,2026-03-01T10:45:00Z
0xc3d4e5f60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f,wallet_intermediary_002,vasp_exchange_001,40.00,2026-03-01T11:00:00Z
0xe5f60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a,wallet_intermediary_002,wallet_intermediary_003,15.00,2026-03-01T11:15:00Z
0x293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e,wallet_intermediary_003,wallet_deadend_003,1.00,2026-03-01T11:45:00Z
0xf60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b,wallet_intermediary_003,vasp_exchange_002,13.80,2026-03-01T12:00:00Z
0x3a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f,wallet_suspicious_002,wallet_intermediary_004,20.00,2026-03-01T12:30:00Z
0xbcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789a,wallet_suspicious_002,wallet_deadend_002,3.00,2026-03-01T12:45:00Z
0x4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f7a,wallet_intermediary_004,vasp_exchange_001,19.50,2026-03-01T13:15:00Z
0x3456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef012,wallet_user_002,wallet_defi_001,2.00,2026-03-01T13:30:00Z
0x456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123,wallet_defi_001,wallet_user_003,1.95,2026-03-01T14:00:00Z
0x5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f901a2b3c4d5e6f7a8b,wallet_user_003,vasp_exchange_001,3.50,2026-03-01T14:30:00Z
0x23456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef01,wallet_merchant_001,wallet_payroll_001,4.00,2026-03-01T15:00:00Z
0x89abcdef0123456789abcdef0123456789abcdef0123456789abcdef01234567,wallet_user_001,wallet_user_002,0.50,2026-03-01T15:30:00Z
0x9abcdef0123456789abcdef0123456789abcdef0123456789abcdef012345678,wallet_user_002,wallet_user_001,0.25,2026-03-01T16:00:00Z
0xabcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,wallet_defi_001,wallet_merchant_001,0.80,2026-03-01T16:30:00Z
0x789abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456,wallet_intermediary_002,vasp_exchange_001,1.20,2026-03-01T17:00:00Z
0x0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,wallet_user_003,wallet_merchant_001,0.70,2026-03-01T17:30:00Z
0xd4e5f60718293a4b5c6d7e8f901a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f90,wallet_payroll_001,wallet_user_001,2.00,2026-03-01T18:00:00Z
